date,open,high,low,close,volume,amount
2026-07-01 09:35:00+08:00,2.346,2.36,2.344,2.355,1897084.96,446026208.0
2026-07-01 09:40:00+08:00,2.355,2.355,2.339,2.343,1344800.96,315713664.0
2026-07-01 09:45:00+08:00,2.343,2.37,2.331,2.369,1275394.0,299859392.0
2026-07-01 09:50:00+08:00,2.37,2.38,2.361,2.366,1317500.96,312232640.0
2026-07-01 09:55:00+08:00,2.366,2.378,2.365,2.377,934718.0,221679712.0
2026-07-01 10:00:00+08:00,2.377,2.378,2.363,2.364,656059.0,155463024.0
2026-07-01 10:05:00+08:00,2.363,2.388,2.359,2.383,1035240.0,246160672.0
2026-07-01 10:10:00+08:00,2.383,2.385,2.363,2.369,737444.96,175172576.0
2026-07-01 10:15:00+08:00,2.369,2.385,2.358,2.358,793079.04,188234784.0
2026-07-01 10:20:00+08:00,2.358,2.382,2.35,2.382,1159208.96,273867712.0
2026-07-01 10:25:00+08:00,2.383,2.39,2.378,2.389,923695.04,220198416.0
2026-07-01 10:30:00+08:00,2.389,2.39,2.362,2.375,1010339.04,240225952.0
2026-07-01 10:35:00+08:00,2.376,2.377,2.356,2.358,642763.0,152211440.0
2026-07-01 10:40:00+08:00,2.36,2.36,2.337,2.341,1580329.92,370880704.0
2026-07-01 10:45:00+08:00,2.342,2.343,2.321,2.339,1489592.0,347313120.0
2026-07-01 10:50:00+08:00,2.34,2.354,2.335,2.354,681067.04,159455904.0
2026-07-01 10:55:00+08:00,2.355,2.363,2.351,2.355,570029.0,134264192.0
2026-07-01 11:00:00+08:00,2.356,2.368,2.352,2.352,233178.0,55084940.0
2026-07-01 11:05:00+08:00,2.352,2.366,2.351,2.352,342452.0,80732432.0
2026-07-01 11:10:00+08:00,2.352,2.363,2.347,2.356,397657.0,93654048.0
2026-07-01 11:15:00+08:00,2.356,2.356,2.341,2.347,424137.0,99529600.0
2026-07-01 11:20:00+08:00,2.347,2.353,2.341,2.342,616379.0,144654304.0
2026-07-01 11:25:00+08:00,2.341,2.341,2.326,2.337,720152.0,167973088.0
2026-07-01 11:30:00+08:00,2.336,2.342,2.333,2.337,981664.0,229478864.0
2026-07-01 13:05:00+08:00,2.338,2.338,2.31,2.311,1780889.92,413327744.0
2026-07-01 13:10:00+08:00,2.31,2.319,2.301,2.301,1038207.04,239734304.0
2026-07-01 13:15:00+08:00,2.302,2.308,2.286,2.287,1122574.0,258075296.0
2026-07-01 13:20:00+08:00,2.286,2.319,2.285,2.319,1209876.96,278229760.0
2026-07-01 13:25:00+08:00,2.319,2.325,2.313,2.315,632935.0,146861920.0
2026-07-01 13:30:00+08:00,2.314,2.314,2.293,2.293,476466.0,109702936.0
2026-07-01 13:35:00+08:00,2.293,2.306,2.293,2.298,765228.96,175933072.0
